ProfessionalDetails,Tier
"Scientist, research (physical sciences)",Freelancer
Haematologist,Professional
Ranger/warden,Freelancer
"Nurse, children's",Manager
Biomedical engineer,Freelancer
Fisheries officer,Professional
Financial adviser,Professional
Associate Professor,Lead
Amenity horticulturist,Professional
Health physicist,Professional
"Secretary, company",Professional
"Solicitor, Scotland",CXO
Warehouse manager,Lead
Quality manager,Manager
Recycling officer,Professional
Osteopath,Lead
Contractor,Professional
Mining engineer,Professional
IT sales professional,Professional
"Engineer, materials",Professional
Tourism officer,Professional
Haematologist,Lead
Commissioning editor,CXO
Herpetologist,Lead
Furniture conservator/restorer,Freelancer
"Pharmacist, community",Freelancer
Information systems manager,Manager
"Surveyor, quantity",Professional
"Journalist, broadcasting",Manager
Adult guidance worker,CXO
Toxicologist,Manager
Sports coach,Professional
Diplomatic Services operational officer,Lead
"Scientist, product/process development",Professional
Tree surgeon,Professional
"Engineer, site",Freelancer
Ambulance person,Professional
"Scientist, marine",Lead
Clothing/textile technologist,Freelancer
Higher education careers adviser,Professional
Architect,Manager
"Engineer, aeronautical",Freelancer
Facilities manager,Professional
Toxicologist,Professional
Investment analyst,Professional
Chief of Staff,Freelancer
Theme park manager,Professional
Web designer,Lead
"Programmer, multimedia",Professional
Air broker,Professional
Energy engineer,Freelancer
Lexicographer,Professional
IT trainer,Lead
Television/film/video producer,Professional
Control and instrumentation engineer,Professional
"Research officer, government",Manager
"Programmer, multimedia",Freelancer
Community education officer,Freelancer
Technical brewer,Lead
"Engineer, site",Manager
Art therapist,Professional
"Surveyor, planning and development",Manager
Magazine journalist,Professional
"Education officer, environmental",Professional
"Research officer, government",Professional
Product designer,Professional
"Loss adjuster, chartered",Lead
"Social research officer, government",Freelancer
Aeronautical engineer,Freelancer
Illustrator,Freelancer
"Psychologist, counselling",Lead
Art gallery manager,Professional
Consulting civil engineer,Professional
Land/geomatics surveyor,Professional
Call centre manager,Professional
Lobbyist,Lead
"Psychologist, sport and exercise",Lead
Tourism officer,Professional
Community arts worker,Professional
Pension scheme manager,Manager
Theatre stage manager,Professional
Air cabin crew,Manager
Equality and diversity officer,Professional
Medical secretary,Freelancer
Town planner,Manager
Airline pilot,Professional
"Engineer, petroleum",Professional
Sales promotion account executive,Professional
Company secretary,Professional
"Engineer, agricultural",Professional
Merchant navy officer,Freelancer
Financial controller,Freelancer
Associate Professor,Professional
"Sales professional, IT",Freelancer
Company secretary,Freelancer
Trade union research officer,Manager
Learning mentor,Professional
"Journalist, magazine",Professional
"Surveyor, land/geomatics",Manager
Haematologist,Lead
Archaeologist,Professional
Microbiologist,Manager
Theatre stage manager,Professional
Chartered public finance accountant,Freelancer
"Scientist, marine",Freelancer
"Engineer, production",Professional
Adult guidance worker,Freelancer
Leisure centre manager,Professional
"Surveyor, building control",Professional
Dentist,Professional
Printmaker,Freelancer
Architect,Lead
Claims inspector/assessor,Freelancer
"Physicist, medical",Professional
"Social research officer, government",Professional
"Accountant, chartered management",Professional
Interior and spatial designer,Freelancer
Horticultural consultant,Freelancer
Chief Marketing Officer,Professional
Land,Freelancer
"Accountant, chartered certified",Professional
"Engineer, water",Professional
Social worker,CXO
"Chemist, analytical",Professional
"Radiographer, diagnostic",Professional
"Merchandiser, retail",Professional
Optometrist,Professional
Fish farm manager,Professional
Patent attorney,Lead
Outdoor activities/education manager,Freelancer
Ceramics designer,Freelancer
"Engineer, chemical",Lead
Advice worker,Freelancer
Pharmacologist,Professional
Copy,Freelancer
Science writer,Freelancer
"Teacher, special educational needs",Lead
Broadcast journalist,Professional
Economist,Lead
Energy manager,Freelancer
Retail buyer,Professional
Illustrator,Professional
Plant breeder/geneticist,Professional
Armed forces training and education officer,Professional
Electrical engineer,Professional
Broadcast journalist,Professional
Microbiologist,Professional
Financial risk analyst,Professional
Sales promotion account executive,Lead
Legal secretary,Manager
"Engineer, maintenance (IT)",Freelancer
Minerals surveyor,Freelancer
Sports development officer,Professional
Charity fundraiser,Freelancer
Armed forces logistics/support/administrative officer,Freelancer
Agricultural engineer,Freelancer
Herbalist,Freelancer
Primary school teacher,Professional
"Sound technician, broadcasting/film/video",Lead
"Geologist, engineering",Professional
Acupuncturist,Freelancer
Herpetologist,Freelancer
TEFL teacher,Professional
Lobbyist,Professional
Psychotherapist,Professional
Mudlogger,Freelancer
Medical sales representative,Professional
Social worker,Freelancer
Clinical cytogeneticist,Lead
Ship broker,CXO
"Surveyor, commercial/residential",Manager
"Editor, commissioning",Professional
Amenity horticulturist,Professional
Hospital doctor,Professional
"Scientist, research (medical)",Manager
Facilities manager,CXO
Food technologist,Freelancer
Physiological scientist,Lead
Passenger transport manager,Professional
"Development worker, international aid",Freelancer
"Development worker, community",Professional
Further education lecturer,Freelancer
Pension scheme manager,Professional
Diplomatic Services operational officer,Freelancer
"Investment banker, corporate",Lead
Passenger transport manager,Freelancer
Charity fundraiser,Professional
Licensed conveyancer,Lead
Retail buyer,CXO
Mudlogger,Lead
Chiropractor,Lead
Plant breeder/geneticist,Professional
Chartered certified accountant,Professional
"Designer, industrial/product",Manager
Patent examiner,Manager
"Pharmacist, community",Lead
Town planner,Manager
Dance movement psychotherapist,Lead
Administrator,Lead
Personnel officer,Professional
"Merchandiser, retail",Professional
Product designer,Professional
Risk analyst,Freelancer
Production manager,Professional
"Development worker, community",Professional
"Psychologist, educational",Professional
Lobbyist,Freelancer
"Engineer, petroleum",Professional
"Administrator, Civil Service",Lead
"Designer, furniture",Freelancer
Secretary/administrator,Professional
Dance movement psychotherapist,Lead
Museum education officer,Professional
Technical brewer,Manager
Copy,Freelancer
Pathologist,Manager
Advertising account executive,Professional
"Engineer, biomedical",Professional
Press photographer,Lead
"Engineer, communications",Professional
Paediatric nurse,Lead
"Buyer, retail",Professional
Financial manager,Professional
Public librarian,Professional
Pension scheme manager,Manager
"Journalist, magazine",Professional
Personnel officer,Professional
Primary school teacher,Freelancer
Quality manager,Freelancer
Financial adviser,Freelancer
Planning and development surveyor,Professional
Education administrator,Professional
"Biochemist, clinical",Professional
"Doctor, general practice",Professional
"Therapist, speech and language",Lead
Hydrologist,Freelancer
"Runner, broadcasting/film/video",Professional
Scientific laboratory technician,Lead
Historic buildings inspector/conservation officer,Lead
Public relations officer,Professional
Science writer,Freelancer
Financial controller,Professional
Academic librarian,Professional
Financial manager,Manager
Quantity surveyor,Professional
"Accountant, chartered",Freelancer
"Scientist, physiological",Freelancer
Patent examiner,Lead
Barrister,Freelancer
Careers information officer,Professional
Meteorologist,Freelancer
Mental health nurse,Freelancer
Patent examiner,Lead
Herpetologist,Freelancer
Call centre manager,Professional
Retail banker,Professional
Naval architect,Lead
Osteopath,Professional
"Radiographer, therapeutic",Manager
Writer,Manager
Field trials officer,Professional
"Therapist, horticultural",Professional
"Engineer, water",Professional
Retail buyer,Freelancer
Electrical engineer,Freelancer
Jewellery designer,Professional
English as a second language teacher,Freelancer
Geochemist,Lead
Illustrator,Professional
Technical brewer,Lead
"Therapist, sports",Professional
"Conservator, furniture",Lead
Records manager,Lead
Sales promotion account executive,Lead
Chartered public finance accountant,Professional
Fine artist,Manager
Occupational psychologist,Professional
"Lighting technician, broadcasting/film/video",Freelancer
